road,id,model_type,condition,name,lat,lon,length
N1,1000020,intersection,,,23.7060833,90.5215271,1.0
N1,1000038,intersection,,,23.6904163,90.546583,1.0
N1,1000247,intersection,,,23.4789716,91.118166,1.0
N1,1000452,intersection,,,23.0018889,91.3920552,1.0
N1,1000774,intersection,,,22.3935552,91.8215827,1.0
N102,1001962,intersection,,,23.4789716,91.1181938,1.0
N102,1002272,intersection,,,24.0506111,91.1146667,1.0
N104,1002274,intersection,,,23.0096667,91.3994163,1.0
N105,1002436,intersection,,,23.6904163,90.5466108,1.0
N106,1002600,intersection,,,22.3935552,91.8215827,1.0
N2,1002915,intersection,,,23.7059167,90.5214438,1.0
N2,1003245,intersection,,,24.0508333,91.1144444,1.0
N2,1003374,intersection,,,24.1478608,91.3464441,1.0
N2,1003528,intersection,,,24.2676938,91.4768882,1.0
N2,1003546,intersection,,,24.2947219,91.5100833,1.0
N2,1003885,intersection,,,24.6264993,91.6774993,1.0
N2,1004030,intersection,,,24.8776938,91.8752771,1.0
N204,1004263,intersection,,,24.1479163,91.3466108,1.0
N204,1004389,intersection,,,24.2673882,91.4771382,1.0
N207,1004391,intersection,,,24.2948608,91.51025,1.0
N207,1004557,intersection,,,24.4713604,91.7654722,1.0
N207,1004625,intersection,,,24.6263327,91.6775271,1.0
N208,1004627,intersection,,,24.4713604,91.7655556,1.0
N208,1004895,intersection,,,24.8775549,91.8753604,1.0
